,0
45,what did you think i would say to that endofline does a scorpion sting when fighting back endofline they strike to kill and you know i will endofline you know i will endofline what do you sing on your drive home endofline do you see my face in the neighbor's lawn endofline does she smile endofline or does she mouth fuck you forever endofparagraph[prechorus] endofline every time you call me crazy i get more crazy endofline what about that endofline and when you say i seem angry i get more angry endofparagraph and there is nothing like a mad woman endofline what a shame she went mad endofline no one likes a mad woman endofline you made her like that endofline and you will poke that bear 'til her claws come out endofline and you find something to wrap your noose around endofline and there is nothing like a mad woman endofparagraph now i breathe flames each time i talk endofline my cannons all firin' at your yacht endofline they say move on but you know i will not endofline and women like hunting witches too endofline doing your dirtiest work for you endofline it is obvious that wanting me dead endofline has really brought you two together endofparagraph[prechorus] endofline every time you call me crazy i get more crazy endofline what about that endofline and when you say i seem angry i get more angry endofparagraph and there is nothing like a mad woman endofline what a shame she went mad endofline no one likes a mad woman endofline you made her like that endofline and you will poke that bear 'til her claws come out endofline and you find something to wrap your noose around endofline and there is nothing like a mad woman endofparagraph i am taking my time taking my time endofline because you took everything from me endofline watching you climb watching you climb endofline over people like me endofline the master of spin has a couple side flings endofline good wives always know endofline she should be mad should be scathing like me but endofparagraph no one likes a mad woman endofline what a shame she went mad endofline you made her like that endofparagraph
46,keep your helmet keep your life son endofline just a flesh wound here is your rifle endofline crawling up the beaches now endofline sir i think he is bleeding out endofline and some things you just can not speak about endofparagraph with you i serve with you i fall down down endofline watch you breathe in watch you breathing out out endofparagraph something med school did not cover endofline someone is daughter someone is mother endofline holds your hand through plastic now endofline doc i think she is crashing out endofline and some things you just can not speak about endofparagraph only twenty minutes to sleep endofline but you dream of some epiphany endofline just one single glimpse of relief endofline to make some sense of what you have seen endofparagraph with you i serve with you i fall down down down endofline watch you breathe in watch you breathing out out endofline with you i serve with you i serve with you i fall down down down down endofline watch you breathe in watch you breathe in watch you breathing out out out out endofparagraph only twenty minutes to sleep endofline but you dream of some epiphany endofline just one single glimpse of relief endofline to make some sense of what you have seen endofparagraph
47,betty i will not make assumptions endofline about why you switched your homeroom but endofline i think it is because of me endofline betty one time i was riding on my skateboard endofline when i passed your house endofline it is like i could not breathe endofparagraph[prechorus] endofline you heard the rumors from inez endofline you can not believe a word she says endofline most times but this time it was true endofline the worst thing that i ever did endofline was what i did to you endofparagraph but if i just showed up at your party endofline would you have me would you want me endofline would you tell me to go fuck myself endofline or lead me to the garden endofline in the garden would you trust me endofline if i told you it was just a summer thing endofline i am only seventeen i do not know anything endofline but i know i miss you endofparagraph betty i know where it all went wrong endofline your favorite song was playing endofline from the far side of the gym endofline i was nowhere to be found endofline i hate the crowds you know that endofline plus i saw you dance with him endofparagraph[prechorus] endofline you heard the rumors from inez endofline you can not believe a word she says endofline most times but this time it was true endofline the worst thing that i ever did endofline was what i did to you endofparagraph but if i just showed up at your party endofline would you have me would you want me endofline would you tell me to go fuck myself endofline or lead me to the garden endofline in the garden would you trust me endofline if i told you it was just a summer thing endofline i am only seventeen i do not know anything endofline but i know i miss you endofparagraph i was walking home on broken cobblestones endofline just thinking of you when she pulled up like endofline a figment of my worst intentions endofline she said james get in let us drive endofline those days turned into nights endofline slept next to her but endofline i dreamt of you all summer long endofparagraph betty i am here on your doorstep endofline and i planned it out for weeks now endofline but it is finally sinkin' in endofline betty right now is the last time endofline i can dream about what happens when endofline you see my face again endofparagraph[prechorus] endofline the only thing i want to do endofline is make it up to you endofline so i showed up at your party endofline yeah i showed up at your party endofparagraph yeah i showed up at your party endofline will you have me will you love me endofline will you kiss me on the porch endofline in front of all your stupid friends endofline if you kiss me will it be just like i dreamed it endofline will it patch your broken wings endofline i am only seventeen i do not know anything endofline but i know i miss you endofparagraph standing in your cardigan endofline kissin' in my car again endofline stopped at a streetlight endofline you know i miss you endofparagraph
48,our comingofage has come and gone endofline suddenly this summer it is clear endofline i never had the courage of my convictions endofline as long as danger is near endofline and it is just around the corner darlin' endofline because it lives in me endofline no i could never give you peace endofparagraph but i am a fire and i will keep your brittle heart warm endofline if your cascade ocean wave blues come endofline all these people think love's for show endofline but i would die for you in secret endofline the devil's in the details but you got a friend in me endofline would it be enough if i could never give you peace endofparagraph your integrity makes me seem small endofline you paint dreamscapes on the wall endofline i talk shit with my friends it is like i am wasting your honor endofline and you know that i would swing with you for the fences endofline sit with you in the trenches endofline give you my wild give you a child endofline give you the silence that only comes when two people understand each other endofline family that i chose now that i see your brother as my brother endofline is it enough endofline but there is robbers to the east clowns to the west endofline i would give you my sunshine give you my best endofline but the rain is always going to come if you are standin' with me endofparagraph but i am a fire and i will keep your brittle heart warm endofline if your cascade ocean wave blues come endofline all these people think love's for show endofline but i would die for you in secret endofline the devil's in the details but you got a friend in me endofline would it be enough if i could never give you peace endofline would it be enough if i could never give you peace endofline would it be enough if i could never give you peace endofparagraph
49,my only one endofline my smoking gun endofline my eclipsed sun endofline this has broken me down endofline my twisted knife endofline my sleepless night endofline my winless fight endofline this has frozen my ground endofparagraph stood on the cliffside screaming give me a reason endofline your faithless love's the only hoax i believe in endofline do not want no other shade of blue but you endofline no other sadness in the world would do endofparagraph my best laid plan endofline your sleight of hand endofline my barren land endofline i am ash from your fire endofparagraph stood on the cliffside screaming give me a reason endofline your faithless love's the only hoax i believe in endofline do not want no other shade of blue but you endofline no other sadness in the world would do endofparagraph you know i left a part of me back in new york endofline you knew the hero died so what is the movie for endofline you knew it still hurts underneath my scars endofline from when they pulled me apart endofline you knew the password so i let you in the door endofline you knew you won so what is the point of keeping score endofline you knew it still hurts underneath my scars endofline from when they pulled me apart endofline but what you did was just as dark endofline ah ah ah endofline darling this was just as hard endofline as when they pulled me apart endofparagraph my only one endofline my kingdom come undone endofline my broken drum endofline you have beaten my heart endofline do not want no other shade of blue but you endofline no other sadness in the world would do endofparagraph
50,i am doing good i am on some new shit endofline been saying yes instead of no endofline i thought i saw you at the bus stop i did not though endofline i hit the ground running each night endofline i hit the sunday matinée endofline you know the greatest films of all time were never made endofparagraph[prechorus] endofline i guess you never know never know endofline and if you wanted me you really should have showed endofline and if you never bleed you are never going to grow endofline and it is alright now endofparagraph but we were something do not you think so endofline roaring twenties tossing pennies in the pool endofline and if my wishеs came true endofline it would have been you endofline in my dеfense i have none endofline for never leaving well enough alone endofline but it would have been fun endofline if you would have been the one endofparagraph i have this dream you are doing cool shit endofline having adventures on your own endofline you meet some woman on the internet and take her home endofline we never painted by the numbers baby endofline but we were making it count endofline you know the greatest loves of all time are over now endofparagraph[prechorus] endofline i guess you never know never know endofline and it is another day waking up alone endofparagraph but we were something do not you think so endofline roaring twenties tossing pennies in the pool endofline and if my wishes came true endofline it would have been you endofline in my defense i have none endofline for never leaving well enough alone endofline but it would have been fun endofline if you would have been the one endofparagraph i i i persist and resist the temptation to ask you endofline if one thing had been different endofline would everything be different today endofparagraph we were something do not you think so endofline rosé flowing with your chosen family endofline and it would have been sweet endofline if it could have been me endofline in my defense i have none endofline for digging up the grave another time endofline but it would have been fun endofline if you would have been the one endofline ooh ooh endofparagraph
51,vintage tee brand new phone endofline high heels on cobblestones endofline when you are young they assume you know nothing endofline sequin smile black lipstick endofline sensual politics endofline when you are young they assume you know nothing endofparagraph but i knew you endofline dancin' in your levi's endofline drunk under a streetlight i endofline i knew you endofline hand under my sweatshirt endofline baby kiss it better i endofparagraph and when i felt like i was an old cardigan endofline under someone is bed endofline you put me on and said i was your favorite endofparagraph a friend to all is a friend to none endofline chase two girls lose the one endofline when you are young they assume you know nothing endofparagraph but i knew you endofline playing hideandseek and endofline giving me your weekends i endofline i knew you endofline your heartbeat on the high line endofline once in twenty lifetimes i endofparagraph and when i felt like i was an old cardigan endofline under someone is bed endofline you put me on and said i was your favorite endofparagraph to kiss in cars and downtown bars endofline was all we needed endofline you drew stars around my scars endofline but now i am bleedin' endofparagraph because i knew you endofline steppin' on the last train endofline marked me like a bloodstain i endofline i knew you endofline tried to change the ending endofline peter losing wendy i endofline i knew you endofline leavin' like a father endofline running like water i endofline because when you are young they assume you know nothing endofparagraph but i knew you would linger like a tattoo kiss endofline i knew you would haunt all of my whatifs endofline the smell of smoke would hang around this long endofline because i knew everything when i was young endofline i knew i would curse you for the longest time endofline chasin' shadows in the grocery line endofline i knew you would miss me once the thrill expired endofline and you would be standin' in my front porch light endofline and i knew you would come back to me endofline you would come back to me endofline and you would come back to me endofline and you would come back endofparagraph and when i felt like i was an old cardigan endofline under someone is bed endofline you put me on and said i was your favorite endofparagraph
52,rebekah rode up on the afternoon train it was sunny endofline her saltbox house on the coast took her mind off st louis endofline bill was the heir to the standard oil name and money endofline and the town said how did a middleclass divorcée do it endofline the wedding was charming if a little gauche endofline there is only so far new money goes endofline they picked out a home and called it holiday house endofline their parties were tasteful if a little loud endofline the doctor had told him to settle down endofline it must have been her fault his heart gave out endofparagraph and they said endofline there goes the last great american dynasty endofline who knows if she never showed up what could have been endofline there goes the maddest woman this town has ever seen endofline she had a marvelous time ruining everything endofparagraph rebekah gave up on the rhode island set forever endofline flew in all her bitch pack friends from the city endofline filled the pool with champagne and swam with the big names endofline and blew through the money on the boys and the ballet endofline and losing on card game bets with dalí endofparagraph and they said endofline there goes the last great american dynasty endofline who knows if she never showed up what could have been endofline there goes the most shameless woman this town has ever seen endofline she had a marvelous time ruining everything endofparagraph they say she was seen on occasion endofline pacing the rocks staring out at the midnight sea endofline and in a feud with her neighbor endofline she stole his dog and dyed it key lime green endofline fifty years is a long time endofline holiday house sat quietly on that beach endofline free of women with madness their men and bad habits endofline and then it was bought by me endofparagraph who knows if i never showed up what could have been endofline there goes the loudest woman this town has ever seen endofline i had a marvelous time ruining everything endofparagraph i had a marvelous time ruining everything endofline a marvelous time ruining everything endofline a marvelous time endofline ruining everything endofline a marvelous time endofparagraph
53,we gather here we line up weepin' in a sunlit room endofline and if i am on fire you will be made of ashes too endofline even on my worst day did i deserve babe endofline all the hell you gave me endofline because i loved you i swear i loved you endofline 'til my dying day endofparagraph i did not have it in myself to go with grace endofline and you are the hero flying around saving face endofline and if i am dead to you why are you at the wake endofline cursing my name wishing i stayed endofline look at how my tears ricochet endofparagraph we gather stones nevеr knowing what they will mean endofline some to throw oh somе to make a diamond ring endofline you know i did not want to have to haunt you endofline but what a ghostly scene endofline you wear the same jewels that i gave you endofline as you bury me endofparagraph i did not have it in myself to go with grace endofline because when i would fight you used to tell me i was brave endofline and if i am dead to you why are you at the wake endofline cursing my name wishing i stayed endofline look at how my tears ricochet endofparagraph and i can go anywhere i want endofline anywhere i want just not home endofline and you can aim for my heart go for blood endofline but you would still miss me in your bones endofline and i still talk to you endofline when i am screaming at the sky endofline and when you can not sleep at night endofline you hear my stolen lullabies endofparagraph i did not have it in myself to go with grace endofline and so the battleships will sink beneath the waves endofline you had to kill me but it killed you just the same endofline cursing my name wishing i stayed endofline you turned into your worst fears endofline and you are tossing out blame drunk on this pain endofline crossing out the good years endofline and you are cursing my name wishing i stayed endofline look at how my tears ricochet endofparagraph yeah look at how my tears ricochet endofline look at all of my tears turning into your tears endofline look at all my tears ricochet endofparagraph
54,i want you to know endofline i am a mirrorball endofline i will show you every version of yourself tonight endofline i will get you out on the floor endofline shimmering beautiful endofline and when i break it is in a million pieces endofparagraph hush when no one is around my dear endofline you will find me on my tallest tiptoes endofline spinning in my highest heels love endofline shining just for you endofline hush i know they said the end is near endofline but i am still on my tallest tiptoes endofline spinning in my highest heels love endofline shining just for you endofparagraph i want you to know endofline i am a mirrorball endofline i can change everything about me to fit in endofline you are not like the regulars endofline the masquerade revelers endofline drunk as thеy watch my shattered edgеs glisten endofparagraph hush when no one is around my dear endofline you will find me on my tallest tiptoes endofline spinning in my highest heels love endofline shining just for you endofline hush i know they said the end is near endofline but i am still on my tallest tiptoes endofline spinning in my highest heels love endofline shining just for you endofparagraph and they called off the circus burned the disco down endofline when they sent home the horses and the rodeo clowns endofline i am still on that tightrope endofline i am still tryin' everything to get you laughing at me endofline and i am still a believer but i do not know why endofline i have never been a natural all i do is try try try endofline i am still on that trapeze endofline i am still trying everything to keep you looking at me endofparagraph because i am a mirrorball endofline i am a mirrorball endofline and i will show you every version of yourself tonight endofparagraph
55,please picture me in the trees endofline i hit my peak at seven endofline feet in the swing over the creek endofline i was too scared to jump in endofline but i i was high in the sky endofline with pennsylvania under me endofline are there still beautiful things endofparagraph sweet tea in the summer endofline cross your heart will not tell no other endofline and though i can not recall your face endofline i still got love for you endofline your braids like a pattern endofline love you to the moon and to saturn endofline passed down like folk songs endofline the love lasts so long endofparagraph and i have been meaning to tell you endofline i think your house is haunted endofline your dad is always mad and that must be why endofline and i think you should come live with me endofline and we can be pirates endofline then you will not have to cry endofline or hide in the closet endofline and just like a folk song endofline our love will be passed on endofparagraph please picture me in the weeds endofline before i learned civility endofline i used to scream ferociously endofline any time i wanted endofline i i endofparagraph sweet tea in the summer endofline cross your heart will not tell no other endofline and though i can not recall your face endofline i still got love for you endofline pack your dolls and a sweater endofline we will move to india forever endofline passed down like folk songs endofline the love lasts so long endofparagraph
56,salt air and the rust on your door endofline i never needed anything more endofline oh whispers of are you sure endofline never have i ever before endofparagraph but i can see us lost in the memory endofline august slipped away into a moment in time endofline because it was never mine endofline and i can see us twisted in bedsheets endofline august sipped away like a bottle of wine endofline because you were never mine endofparagraph your back beneath the sun endofline wishin' i could write my name on it endofline will you call when you are back at school endofline i remember thinkin' i had you endofparagraph but i can see us lost in the memory endofline august slipped away into a moment in time endofline because it was never mine endofline and i can see us twisted in bedsheets endofline august sipped away like a bottle of wine endofline because you were never mine endofline ahhahh endofparagraph back when we were still changin' for the better endofline wanting was enough endofline for me it was enough endofline to live for the hope of it all endofline cancel plans just in case you would call endofline and say meet me behind the mall endofline so much for summer love and saying us endofline because you were not mine to lose endofline you were not mine to lose no endofparagraph because i can see us lost in the memory endofline august slipped away into a moment in time endofline because it was never mine endofline and i can see us twisted in bedsheets endofline august sipped away like a bottle of wine endofline you were never mine endofparagraph you were never mine endofline never mine endofline but do you remember endofline remember when i pulled up and said get in the car endofline and then canceled my plans just in case you would call endofline back when i was livin' for the hope of it all for the hope of it all endofline meet me behind the mall endofline and then canceled my plans just in case you would call endofline back when i was livin' for the hope of it all for the hope of it all endofline remember when i pulled up and said get in the car endofline and then canceled my plans just in case you would call endofline back when i was livin' for the hope of it all for the hope of it all endofline meet me behind the mall endofparagraph haha i loved that endofparagraph
57,i have been having a hard time adjusting endofline i had the shiniest wheels now they are rusting endofline i did not know if you would care if i came back endofline i have a lot of regrets about that endofline pulled the car off the road to the lookout endofline could have followed my fears all the way down endofline and maybe i do not quite know what to say endofline but i am here in your doorway endofparagraph i just wanted you to know that this is me trying endofline i just wanted you to know that this is me trying endofparagraph they told me all of my cages were mental endofline so i got wasted like all my potential endofline and my words shoot to kill when i am mad endofline i have a lot of regrets about that endofline i was so ahead of the curve the curve became a sphere endofline fell behind all my classmates and i ended up here endofline pouring out my heart to a stranger endofline but i did not pour the whiskey endofparagraph i just wanted you to know that this is me trying endofline i just wanted you to know that this is me trying endofparagraph[postchorus] endofline at least i am trying endofparagraph and it is hard to be at a party when i feel like an open wound endofline it is hard to be anywhere these days when all i want is you endofline you are a flashback in a film reel on the one screen in my town endofparagraph and i just wanted you to know that this is me trying endofline i just wanted you to know that this is me trying endofparagraph at least i am trying endofparagraph
58,make sure nobody sees you leave endofline hood over your head keep your eyes down endofline tell your friends you are out for a run endofline you will be flushed when you return endofline take the road less traveled by endofline tell yourself you can always stop endofline what started in beautiful rooms endofline ends with meetings in parking lots endofparagraph and that is the thing about illicit affairs endofline and clandestine meetings and longing stares endofline it is born from just one single glance endofline but it dies and it dies and it dies endofline a million little times endofparagraph leave the perfume on the shеlf endofline that you picked out just for him endofline so you leave no tracе behind endofline like you do not even exist endofline and take the words for what they are endofline a dwindling mercurial high endofline a drug that only worked endofline the first few hundred times endofparagraph and that is the thing about illicit affairs endofline and clandestine meetings and stolen stares endofline they show their truth one single time endofline but they lie and they lie and they lie endofline a million little times endofparagraph and you want to scream endofline do not call me kid do not call me baby endofline look at this godforsaken mess that you made me endofline you showed me colors you know i can not see with anyone else endofline do not call me kid do not call me baby endofline look at this idiotic fool that you made me endofline you taught me a secret language i can not speak with anyone else endofparagraph and you know damn well endofline for you i would ruin myself endofline a million little times endofparagraph
59,green was the color of the grass endofline where i used to read at centennial park endofline i used to think i would meet somebody there endofline teal was the color of your shirt endofline when you were sixteen at the yogurt shop endofline you used to work at to make a little money endofparagraph time curious time endofline gave me no compasses gave me no signs endofline were there clues i did not see endofline and is not it just so pretty to think endofline all along there was some endofline invisible string endofline tying you to me endofline oohoohoohooh endofparagraph bad was the blood of the song in the cab endofline on your first trip to la endofline you ate at my favorite spot for dinner endofline bold was the waitress on our threeyear trip endofline getting lunch down by the lakes endofline she said i looked like an american singer endofparagraph time mystical time endofline cutting me open then healing me fine endofline were there clues i did not see endofline and is not it just so pretty to think endofline all along there was some endofline invisible string endofline tying you to me endofline oohoohoohooh endofparagraph a string that pulled me endofline out of all the wrong arms right into that dive bar endofline something wrapped all of my past mistakes in barbed wire endofline chains around my demons endofline wool to brave the seasons endofline one single thread of gold endofline tied me to you endofparagraph cold was the steel of my axe to grind endofline for the boys who broke my heart endofline now i send their babies presents endofline gold was the color of the leaves endofline when i showed you around centennial park endofline hell was the journey but it brought me heaven endofparagraph time wondrous time endofline gave me the blues and then purplepink skies endofline and it is cool endofline baby with me endofline and is not it just so pretty to think endofline all along there was some endofline invisible string endofline tying you to me endofline oohoohoohooh endofline me endofline oohoohoohooh endofparagraph ahahah yeah endofline oohoohoohooh oh no endofparagraph
60,what did you think i would say to that endofline does a scorpion sting when fighting back endofline they strike to kill and you know i will endofline you know i will endofline what do you sing on your drive home endofline do you see my face in the neighbor's lawn endofline does she smile endofline or does she mouth fuck you forever endofparagraph[prechorus] endofline every time you call me crazy i get more crazy endofline what about that endofline and when you say i seem angry i get more angry endofparagraph and there is nothing like a mad woman endofline what a shame she went mad endofline no one likes a mad woman endofline you made her like that endofline and you will poke that bear 'til her claws come out endofline and you find something to wrap your noose around endofline and there is nothing like a mad woman endofparagraph now i breathe flames each time i talk endofline my cannons all firin' at your yacht endofline they say move on but you know i will not endofline and women like hunting witches too endofline doing your dirtiest work for you endofline it is obvious that wanting me dead endofline has really brought you two together endofparagraph[prechorus] endofline every time you call me crazy i get more crazy endofline what about that endofline and when you say i seem angry i get more angry endofparagraph and there is nothing like a mad woman endofline what a shame she went mad endofline no one likes a mad woman endofline you made her like that endofline and you will poke that bear 'til her claws come out endofline and you find something to wrap your noose around endofline and there is nothing like a mad woman endofparagraph i am taking my time taking my time endofline because you took everything from me endofline watching you climb watching you climb endofline over people like me endofline the master of spin has a couple side flings endofline good wives always know endofline she should be mad should be scathing like me but endofparagraph no one likes a mad woman endofline what a shame she went mad endofline you made her like that endofparagraph
61,keep your helmet keep your life son endofline just a flesh wound here is your rifle endofline crawling up the beaches now endofline sir i think he is bleeding out endofline and some things you just can not speak about endofparagraph with you i serve with you i fall down down endofline watch you breathe in watch you breathing out out endofparagraph something med school did not cover endofline someone is daughter someone is mother endofline holds your hand through plastic now endofline doc i think she is crashing out endofline and some things you just can not speak about endofparagraph only twenty minutes to sleep endofline but you dream of some epiphany endofline just one single glimpse of relief endofline to make some sеnse of what you have seen endofparagraph with you i servе with you i fall down down endofline watch you breathe in watch you breathing out out endofline with you i serve with you i fall down down endofline watch you breathe in watch you breathing out out endofparagraph only twenty minutes to sleep endofline but you dream of some epiphany endofline just one single glimpse of relief endofline to make some sense of what you have seen endofline make sense of what you have seen endofparagraph
62,betty i will not make assumptions endofline about why you switched your homeroom but endofline i think it is because of me endofline betty one time i was riding on my skateboard endofline when i passed your house endofline it is like i could not breathe endofparagraph[prechorus] endofline you heard the rumors from inez endofline you can not believe a word she says endofline most times but this time it was true endofline the worst thing that i ever did endofline was what i did to you endofparagraph but if i just showed up at your party endofline would you have me would you want me endofline would you tell me to go fuck myself endofline or lead me to the garden endofline in the garden would you trust mе endofline if i told you it was just a summer thing endofline i am only seventeen i do not know anything endofline but i know i miss you endofparagraph bеtty i know where it all went wrong endofline your favorite song was playing endofline from the far side of the gym endofline i was nowhere to be found endofline i hate the crowds you know that endofline plus i saw you dance with him endofparagraph[prechorus] endofline you heard the rumors from inez endofline you can not believe a word she says endofline most times but this time it was true endofline the worst thing that i ever did endofline was what i did to you endofparagraph but if i just showed up at your party endofline would you have me would you want me endofline would you tell me to go fuck myself endofline or lead me to the garden endofline in the garden would you trust me endofline if i told you it was just a summer thing endofline i am only seventeen i do not know anything endofline but i know i miss you endofparagraph i was walking home on broken cobblestones endofline just thinking of you when she pulled up like endofline a figment of my worst intentions endofline she said james get in let us drive endofline those days turned into nights endofline slept next to her but endofline i dreamt of you all summer long endofparagraph betty i am here on your doorstep endofline and i planned it out for weeks now endofline but it is finally sinkin' in endofline betty right now is the last time endofline i can dream about what happens when endofline you see my face again endofparagraph[prechorus] endofline the only thing i want to do endofline is make it up to you endofline so i showed up at your party endofline yeah i showed up at your party endofparagraph yeah i showed up at your party endofline will you have me will you love me endofline will you kiss me on the porch endofline in front of all your stupid friends endofline if you kiss me will it be just like i dreamed it endofline will it patch your broken wings endofline i am only seventeen i do not know anything endofline but i know i miss you endofparagraph standing in your cardigan endofline kissin' in my car again endofline stopped at a streetlight endofline you know i miss you endofparagraph
63,our comingofage has come and gone endofline suddenly this summer it is clear endofline i never had the courage of my convictions endofline as long as danger is near endofline and it is just around the corner darlin' endofline because it lives in me endofline no i could never give you peace endofparagraph but i am a fire and i will keep your brittle heart warm endofline if your cascade ocean wave blues come endofline all these people think love's for show endofline but i would die for you in secret endofline the devil's in the details but you got a friеnd in me endofline would it be enough if i could nеver give you peace endofparagraph your integrity makes me seem small endofline you paint dreamscapes on the wall endofline i talk shit with my friends it is like i am wasting your honor endofline and you know that i would swing with you for the fences endofline sit with you in the trenches endofline give you my wild give you a child endofline give you the silence that only comes when two people understand each other endofline family that i chose now that i see your brother as my brother endofline is it enough endofline because there is robbers to the east clowns to the west endofline i would give you my sunshine give you my best endofline but the rain is always going to come if you are standin' with me endofparagraph but i am a fire and i will keep your brittle heart warm endofline if your cascade ocean wave blues come endofline all these people think love's for show endofline and i would die for you in secret endofline the devil's in the details but you got a friend in me endofline would it be enough if i could never give you peace endofline would it be enough if i could never give you peace endofline would it be enough if i could never give you peace endofparagraph
64,one two one endofparagraph my only one endofline my smoking gun endofline my eclipsed sun endofline this has broken me down endofline my twisted knife endofline my sleepless night endofline my winless fight endofline this has frozen my ground endofparagraph stood on the cliffside screaming give me a reason endofline your faithless love's the only hoax i believe in endofline do not want no other shade of blue but you endofline no other sadness in the world would do endofparagraph my best laid plan endofline your sleight of hand endofline my barren land endofline i am ash from your fire endofparagraph stood on the cliffside screaming give me a reason endofline your faithless love's thе only hoax i believe in endofline do not want no othеr shade of blue but you endofline no other sadness in the world would do endofparagraph you know i left a part of me back in new york endofline you knew the hero died so what is the movie for endofline you knew it still hurts underneath my scars endofline from when they pulled me apart endofline you knew the password so i let you in the door endofline you knew you won so what is the point of keeping score endofline you knew it still hurts underneath my scars endofline from when they pulled me apart endofline but what you did was just as dark endofline darling this was just as hard endofline as when they pulled me apart endofparagraph my only one endofline my kingdom come undone endofline my broken drum endofline you have beaten my heart endofline do not want no other shade of blue but you endofline no other sadness in the world would do endofparagraph
65,is it romantic how all my elegies eulogize me endofline i am not cut out for all these cynical clones endofline these hunters with cell phones endofparagraph take me to the lakes where all the poets went to die endofline i do not belong and my beloved neither do you endofline those windermere peaks look like a perfect place to cry endofline i am setting off but not without my muse endofparagraph what should be over burrowеd under my skin endofline in heartstopping waves of hurt endofline i'vе come too far to watch some namedropping sleaze endofline tell me what are my words worth endofparagraph take me to the lakes where all the poets went to die endofline i do not belong and my beloved neither do you endofline those windermere peaks look like a perfect place to cry endofline i am setting off but not without my muse endofparagraph i want auroras and sad prose endofline i want to watch wisteria grow right over my bare feet endofline because i have not moved in years endofline and i want you right here endofline a red rose grew up out of ice frozen ground endofline with no one around to tweet it endofline while i bathe in cliffside pools endofline with my calamitous love and insurmountable grief endofparagraph take me to the lakes where all the poets went to die endofline i do not belong and my beloved neither do you endofline those windermere peaks look like a perfect place to cry endofline i am setting off but not without my muse endofline no not without you endofline no not without you endofparagraph
66,i am doing good i am on some new shit endofline been saying yes instead of no endofline i thought i saw you at the bus stop i did not though endofline i hit the ground running each night endofline i hit the sunday matinée endofline you know the greatest films of all time were never made endofparagraph[prechorus] endofline i guess you never know never know endofline and if you wanted me you really should have showed endofline and if you never bleed you are never going to grow endofline and it is alright now endofparagraph but we were something do not you think so endofline roaring twenties tossing pennies in the pool endofline and if my wishes came true endofline it would have been you endofline in my defense i have none endofline for never leaving well enough alone endofline but it would have been fun endofline if you would have been the one endofline ooh endofparagraph i have this dream you are doing cool shit endofline having adventures on your own endofline you meet some woman on the internet and take her home endofline we never painted by the numbers baby endofline but we were making it count endofline you know the greatest loves of all time are over now endofparagraph[prechorus] endofline i guess you never know never know endofline and it is another day waking up alone endofparagraph but we were something do not you think so endofline roaring twenties tossing pennies in the pool endofline and if my wishes came true endofline it would have been you endofline in my defense i have none endofline for never leaving well enough alone endofline but it would have been fun endofline if you would have been the one endofparagraph i i i persist and resist the temptation to ask you endofline if one thing had been different endofline would everything be different today endofparagraph we were something do not you think so endofline rosé flowing with your chosen family endofline and it would have been sweet endofline if it could have been me endofline in my defense i have none endofline for digging up the grave another time endofline but it would have been fun endofline if you would have been the one endofline ooh endofparagraph
67,vintage tee brand new phone endofline high heels on cobblestones endofline when you are young they assume you know nothing endofline sequin smile black lipstick endofline sensual politics endofline when you are young they assume you know nothing endofparagraph but i knew you endofline dancin' in your levi's endofline drunk under a streetlight i endofline i knew you endofline hand under my sweatshirt endofline baby kiss it better i endofparagraph and when i felt like i was an old cardigan endofline under someone is bed endofline you put me on and said i was your favorite endofparagraph a friend to all is a friend to none endofline chase two girls lose the one endofline when you are young they assume you know nothing endofparagraph but i knew you endofline playing hideandseek and endofline giving me your weekends i endofline i knew you endofline your heartbeat on the high line endofline once in twenty lifetimes i endofparagraph and when i felt like i was an old cardigan endofline under someone is bed endofline you put me on and said i was your favorite endofparagraph to kiss in cars and downtown bars endofline was all we needed endofline you drew stars around my scars endofline but now i am bleedin' endofparagraph because i knew you endofline steppin' on the last train endofline marked me like a bloodstain i endofline i knew you endofline tried to change the ending endofline peter losing wendy i endofline i knew you endofline leavin' like a father endofline running like water i endofline and when you are young they assume you know nothing endofparagraph but i knew you would linger like a tattoo kiss endofline i knew you would haunt all of my whatifs endofline the smell of smoke would hang around this long endofline because i knew everything when i was young endofline i knew i would curse you for the longest time endofline chasin' shadows in the grocery line endofline i knew you would miss me once the thrill expired endofline and you would be standin' in my front porch light endofline and i knew you would come back to me endofline you would come back to me endofline and you would come back to me endofline and you would come back endofparagraph and when i felt like i was an old cardigan endofline under someone is bed endofline you put me on and said i was your favorite endofparagraph
